paragraph,punctuation,cluster
— 1 —,—  —,10
中华人民共和国数据安全法,,0
（2021 年 6 月 10 日第十三届全国人民代表大会常,（     ,3
务委员会第二十九次会议通过）,）,3
目,,6
录,,6
第一章,,6
总则,,6
第二章,,6
数据安全与发展,,0
第三章,,6
数据安全制度,,6
第四章,,6
数据安全保护义务,,6
第五章,,6
政务数据安全与开放,,0
第六章,,6
法律责任,,6
第七章,,6
附则,,6
第一章,,6
总则,,6
第一条,,6
为了规范数据处理活动，保障数据安全，促进数,，，,11
据开发利用，保护个人、组织的合法权益，维护国家主权、,，、，、,8
安全和发展利益，制定本法。,，。,8
第二条,,6
在中华人民共和国境内开展数据处理活动及其,,0
安全监管，适用本法。,，。,8
— 2 —,—  —,10
在中华人民共和国境外开展数据处理活动，损害中华人民,，,5
共和国国家安全、公共利益或者公民、组织合法权益的，依,、、，,2
法追究法律责任。,。,1
第三条,,6
本法所称数据，是指任何以电子或者其他方式对,，,5
信息的记录。,。,1
数据处理，包括数据的收集、存储、使用、加工、传输、,，、、、、、,8
提供、公开等。,、。,2
数据安全，是指通过采取必要措施，确保数据处于有效保,，，,11
护和合法利用的状态，以及具备保障持续安全状态的能力。,，。,8
第四条,,6
维护数据安全，应当坚持总体国家安全观，建立,，，,11
健全数据安全治理体系，提高数据安全保障能力。,，。,8
第五条,,6
中央国家安全领导机构负责国家数据安全工作,,0
的决策和议事协调，研究制定、指导实施国家数据安全战略,，、,8
和有关重大方针政策，统筹协调国家数据安全的重大事项和,，,5
重要工作，建立国家数据安全工作协调机制。,，。,8
第六条,,6
各地区、各部门对本地区、本部门工作中收集和,、、,7
产生的数据及数据安全负责。,。,1
工业、电信、交通、金融、自然资源、卫生健康、教育、,、、、、、、、,7
科技等主管部门承担本行业、本领域数据安全监管职责。,、。,2
公安机关、国家安全机关等依照本法和有关法律、行政法,、、,7
规的规定，在各自职责范围内承担数据安全监管职责。,，。,8
— 3 —,—  —,10
国家网信部门依照本法和有关法律、行政法规的规定，负,、，,2
责统筹协调网络数据安全和相关监管工作。,。,1
第七条,,6
国家保护个人、组织与数据有关的权益，鼓励数,、，,2
据依法合理有效利用，保障数据依法有序自由流动，促进以,，，,11
数据为关键要素的数字经济发展。,。,1
第八条,,6
开展数据处理活动，应当遵守法律、法规，尊重,，、，,2
社会公德和伦理，遵守商业道德和职业道德，诚实守信，履,，，，,5
行数据安全保护义务，承担社会责任，不得危害国家安全、,，，、,8
公共利益，不得损害个人、组织的合法权益。,，、。,2
第九条,,6
国家支持开展数据安全知识宣传普及，提高全社,，,5
会的数据安全保护意识和水平，推动有关部门、行业组织、,，、、,7
科研机构、企业、个人等共同参与数据安全保护工作，形成,、、，,2
全社会共同维护数据安全和促进发展的良好环境。,。,1
第十条,,6
相关行业组织按照章程，依法制定数据安全行为,，,5
规范和团体标准，加强行业自律，指导会员加强数据安全保,，，,11
护，提高数据安全保护水平，促进行业健康发展。,，，。,8
第十一条,,6
国家积极开展数据安全治理、数据开发利用等,、,4
领域的国际交流与合作，参与数据安全相关国际规则和标准,，,5
的制定，促进数据跨境安全、自由流动。,，、。,2
第十二条,,6
任何个人、组织都有权对违反本法规定的行为,、,4
向有关主管部门投诉、举报。收到投诉、举报的部门应当及,、。、,7
时依法处理。,。,1
— 4 —,—  —,10
有关主管部门应当对投诉、举报人的相关信息予以保密，,、，,2
保护投诉、举报人的合法权益。,、。,2
第二章,,6
数据安全与发展,,0
第十三条,,6
国家统筹发展和安全，坚持以数据开发利用和,，,5
产业发展促进数据安全，以数据安全保障数据开发利用和产,，,5
业发展。,。,1
第十四条,,6
国家实施大数据战略，推进数据基础设施建,，,5
设，鼓励和支持数据在各行业、各领域的创新应用。,，、。,2
省级以上人民政府应当将数字经济发展纳入本级国民经,,0
济和社会发展规划，并根据需要制定数字经济发展规划。,，。,8
第十五条,,6
国家支持开发利用数据提升公共服务的智能,,0
化水平。提供智能化公共服务，应当充分考虑老年人、残疾,。，、,8
人的需求，避免对老年人、残疾人的日常生活造成障碍。,，、。,2
第十六条,,6
国家支持数据开发利用和数据安全技术研究，,，,5
鼓励数据开发利用和数据安全等领域的技术推广和商业创,,0
新，培育、发展数据开发利用和数据安全产品、产业体系。,，、、。,2
第十七条,,6
国家推进数据开发利用技术和数据安全标准,,0
体系建设。国务院标准化行政主管部门和国务院有关部门根,。,1
据各自的职责，组织制定并适时修订有关数据开发利用技,，,5
— 5 —,—  —,10
术、产品和数据安全相关标准。国家支持企业、社会团体和,、。、,7
教育、科研机构等参与标准制定。,、。,2
第十八条,,6
国家促进数据安全检测评估、认证等服务的发,、,4
展，支持数据安全检测评估、认证等专业机构依法开展服务,，、,8
活动。,。,1
国家支持有关部门、行业组织、企业、教育和科研机构、,、、、、,7
有关专业机构等在数据安全风险评估、防范、处置等方面开,、、,7
展协作。,。,1
第十九条,,6
国家建立健全数据交易管理制度，规范数据交,，,5
易行为，培育数据交易市场。,，。,8
第二十条,,6
国家支持教育、科研机构和企业等开展数据开,、,4
发利用技术和数据安全相关教育和培训，采取多种方式培养,，,5
数据开发利用技术和数据安全专业人才，促进人才交流。,，。,8
第三章,,6
数据安全制度,,6
第二十一条,,6
国家建立数据分类分级保护制度，根据数据,，,5
在经济社会发展中的重要程度，以及一旦遭到篡改、破坏、,，、、,7
泄露或者非法获取、非法利用，对国家安全、公共利益或者,、，、,7
个人、组织合法权益造成的危害程度，对数据实行分类分级,、，,2
保护。国家数据安全工作协调机制统筹协调有关部门制定重,。,1
要数据目录，加强对重要数据的保护。,，。,8
— 6 —,—  —,10
关系国家安全、国民经济命脉、重要民生、重大公共利益,、、、,7
等数据属于国家核心数据，实行更加严格的管理制度。,，。,8
各地区、各部门应当按照数据分类分级保护制度，确定本,、，,2
地区、本部门以及相关行业、领域的重要数据具体目录，对,、、，,2
列入目录的数据进行重点保护。,。,1
第二十二条,,6
国家建立集中统一、高效权威的数据安全风,、,4
险评估、报告、信息共享、监测预警机制。国家数据安全工,、、、。,2
作协调机制统筹协调有关部门加强数据安全风险信息的获,,0
取、分析、研判、预警工作。,、、、。,2
第二十三条,,6
国家建立数据安全应急处置机制。发生数据,。,1
安全事件，有关主管部门应当依法启动应急预案，采取相应,，，,11
的应急处置措施，防止危害扩大，消除安全隐患，并及时向,，，，,11
社会发布与公众有关的警示信息。,。,1
第二十四条,,6
国家建立数据安全审查制度，对影响或者可,，,5
能影响国家安全的数据处理活动进行国家安全审查。,。,1
依法作出的安全审查决定为最终决定。,。,1
第二十五条,,6
国家对与维护国家安全和利益、履行国际义,、,4
务相关的属于管制物项的数据依法实施出口管制。,。,1
第二十六条,,6
任何国家或者地区在与数据和数据开发利,,0
用技术等有关的投资、贸易等方面对中华人民共和国采取歧,、,4
视性的禁止、限制或者其他类似措施的，中华人民共和国可,、，,2
以根据实际情况对该国家或者地区对等采取措施。,。,1
— 7 —,—  —,10
第四章,,6
数据安全保护义务,,6
第二十七条,,6
开展数据处理活动应当依照法律、法规的规,、,4
定，建立健全全流程数据安全管理制度，组织开展数据安全,，，,11
教育培训，采取相应的技术措施和其他必要措施，保障数据,，，,11
安全。利用互联网等信息网络开展数据处理活动，应当在网,。，,3
络安全等级保护制度的基础上，履行上述数据安全保护义,，,5
务。,。,1
重要数据的处理者应当明确数据安全负责人和管理机构，,，,5
落实数据安全保护责任。,。,1
第二十八条,,6
开展数据处理活动以及研究开发数据新技,,0
术，应当有利于促进经济社会发展，增进人民福祉，符合社,，，，,5
会公德和伦理。,。,1
第二十九条,,6
开展数据处理活动应当加强风险监测，发现,，,5
数据安全缺陷、漏洞等风险时，应当立即采取补救措施；发,、，；,2
生数据安全事件时，应当立即采取处置措施，按照规定及时,，，,11
告知用户并向有关主管部门报告。,。,1
第三十条,,6
重要数据的处理者应当按照规定对其数据处,,0
理活动定期开展风险评估，并向有关主管部门报送风险评估,，,5
报告。,。,1
— 8 —,—  —,10
风险评估报告应当包括处理的重要数据的种类、数量，开,、，,2
展数据处理活动的情况，面临的数据安全风险及其应对措施,，,5
等。,。,1
第三十一条,,6
关键信息基础设施的运营者在中华人民共,,0
和国境内运营中收集和产生的重要数据的出境安全管理，适,，,5
用《中华人民共和国网络安全法》的规定；其他数据处理者,《》；,3
在中华人民共和国境内运营中收集和产生的重要数据的出,,0
境安全管理办法，由国家网信部门会同国务院有关部门制,，,5
定。,。,1
第三十二条,,6
任何组织、个人收集数据，应当采取合法、,、，、,7
正当的方式，不得窃取或者以其他非法方式获取数据。,，。,8
法律、行政法规对收集、使用数据的目的、范围有规定的，,、、、，,2
应当在法律、行政法规规定的目的和范围内收集、使用数据。,、、。,2
第三十三条,,6
从事数据交易中介服务的机构提供服务，应,，,5
当要求数据提供方说明数据来源，审核交易双方的身份，并,，，,11
留存审核、交易记录。,、。,2
第三十四条,,6
法律、行政法规规定提供数据处理相关服务,、,4
应当取得行政许可的，服务提供者应当依法取得许可。,，。,8
第三十五条,,6
公安机关、国家安全机关因依法维护国家安,、,4
全或者侦查犯罪的需要调取数据，应当按照国家有关规定，,，，,11
经过严格的批准手续，依法进行，有关组织、个人应当予以,，，、,8
配合。,。,1
— 9 —,—  —,10
第三十六条,,6
中华人民共和国主管机关根据有关法律和,,0
中华人民共和国缔结或者参加的国际条约、协定，或者按照,、，,2
平等互惠原则，处理外国司法或者执法机构关于提供数据的,，,5
请求。非经中华人民共和国主管机关批准，境内的组织、个,。，、,8
人不得向外国司法或者执法机构提供存储于中华人民共和,,0
国境内的数据。,。,1
第五章,,6
政务数据安全与开放,,0
第三十七条,,6
国家大力推进电子政务建设，提高政务数据,，,5
的科学性、准确性、时效性，提升运用数据服务经济社会发,、、，,2
展的能力。,。,1
第三十八条,,6
国家机关为履行法定职责的需要收集、使用,、,4
数据，应当在其履行法定职责的范围内依照法律、行政法规,，、,8
规定的条件和程序进行；对在履行职责中知悉的个人隐私、,；、,8
个人信息、商业秘密、保密商务信息等数据应当依法予以保,、、,7
密，不得泄露或者非法向他人提供。,，。,8
第三十九条,,6
国家机关应当依照法律、行政法规的规定，,、，,2
建立健全数据安全管理制度，落实数据安全保护责任，保障,，，,11
政务数据安全。,。,1
第四十条,,6
国家机关委托他人建设、维护电子政务系统，,、，,2
存储、加工政务数据，应当经过严格的批准程序，并应当监,、，，,2
— 10 —,—  —,10
督受托方履行相应的数据安全保护义务。受托方应当依照法,。,1
律、法规的规定和合同约定履行数据安全保护义务，不得擅,、，,2
自留存、使用、泄露或者向他人提供政务数据。,、、。,2
第四十一条,,6
国家机关应当遵循公正、公平、便民的原则，,、、，,2
按照规定及时、准确地公开政务数据。依法不予公开的除外。,、。。,2
第四十二条,,6
国家制定政务数据开放目录，构建统一规,，,5
范、互联互通、安全可控的政务数据开放平台，推动政务数,、、，,2
据开放利用。,。,1
第四十三条,,6
法律、法规授权的具有管理公共事务职能的,、,4
组织为履行法定职责开展数据处理活动，适用本章规定。,，。,8
第六章,,6
法律责任,,6
第四十四条,,6
有关主管部门在履行数据安全监管职责中，,，,5
发现数据处理活动存在较大安全风险的，可以按照规定的权,，,5
限和程序对有关组织、个人进行约谈，并要求有关组织、个,、，、,7
人采取措施进行整改，消除隐患。,，。,8
第四十五条,,6
开展数据处理活动的组织、个人不履行本法,、,4
第二十七条、第二十九条、第三十条规定的数据安全保护义,、、,7
务的，由有关主管部门责令改正，给予警告，可以并处五万,，，，,5
元以上五十万元以下罚款，对直接负责的主管人员和其他直,，,5
接责任人员可以处一万元以上十万元以下罚款；拒不改正或,；,0
— 11 —,—  —,10
者造成大量数据泄露等严重后果的，处五十万元以上二百万,，,5
元以下罚款，并可以责令暂停相关业务、停业整顿、吊销相,，、、,7
关业务许可证或者吊销营业执照，对直接负责的主管人员和,，,5
其他直接责任人员处五万元以上二十万元以下罚款。,。,1
违反国家核心数据管理制度，危害国家主权、安全和发展,，、,8
利益的，由有关主管部门处二百万元以上一千万元以下罚,，,5
款，并根据情况责令暂停相关业务、停业整顿、吊销相关业,，、、,7
务许可证或者吊销营业执照；构成犯罪的，依法追究刑事责,；，,11
任。,。,1
第四十六条,,6
违反本法第三十一条规定，向境外提供重要,，,5
数据的，由有关主管部门责令改正，给予警告，可以并处十,，，，,5
万元以上一百万元以下罚款，对直接负责的主管人员和其他,，,5
直接责任人员可以处一万元以上十万元以下罚款；情节严重,；,0
的，处一百万元以上一千万元以下罚款，并可以责令暂停相,，，,11
关业务、停业整顿、吊销相关业务许可证或者吊销营业执照，,、、，,2
对直接负责的主管人员和其他直接责任人员处十万元以上,,0
一百万元以下罚款。,。,1
第四十七条,,6
从事数据交易中介服务的机构未履行本法,,0
第三十三条规定的义务的，由有关主管部门责令改正，没收,，，,11
违法所得，处违法所得一倍以上十倍以下罚款，没有违法所,，，,11
得或者违法所得不足十万元的，处十万元以上一百万元以下,，,5
罚款，并可以责令暂停相关业务、停业整顿、吊销相关业务,，、、,7
— 12 —,—  —,10
许可证或者吊销营业执照；对直接负责的主管人员和其他直,；,0
接责任人员处一万元以上十万元以下罚款。,。,1
第四十八条,,6
违反本法第三十五条规定，拒不配合数据调,，,5
取的，由有关主管部门责令改正，给予警告，并处五万元以,，，，,5
上五十万元以下罚款，对直接负责的主管人员和其他直接责,，,5
任人员处一万元以上十万元以下罚款。,。,1
违反本法第三十六条规定，未经主管机关批准向外国司法,，,5
或者执法机构提供数据的，由有关主管部门给予警告，可以,，，,11
并处十万元以上一百万元以下罚款，对直接负责的主管人员,，,5
和其他直接责任人员可以处一万元以上十万元以下罚款；造,；,0
成严重后果的，处一百万元以上五百万元以下罚款，并可以,，，,11
责令暂停相关业务、停业整顿、吊销相关业务许可证或者吊,、、,7
销营业执照，对直接负责的主管人员和其他直接责任人员处,，,5
五万元以上五十万元以下罚款。,。,1
第四十九条,,6
国家机关不履行本法规定的数据安全保护,,0
义务的，对直接负责的主管人员和其他直接责任人员依法给,，,5
予处分。,。,1
第五十条,,6
履行数据安全监管职责的国家工作人员玩忽,,0
职守、滥用职权、徇私舞弊的，依法给予处分。,、、，。,2
第五十一条,,6
窃取或者以其他非法方式获取数据，开展数,，,5
据处理活动排除、限制竞争，或者损害个人、组织合法权益,、，、,7
的，依照有关法律、行政法规的规定处罚。,，、。,2
— 13 —,—  —,10
第五十二条,,6
违反本法规定，给他人造成损害的，依法承,，，,11
担民事责任。,。,1
违反本法规定，构成违反治安管理行为的，依法给予治安,，，,11
管理处罚；构成犯罪的，依法追究刑事责任。,；，。,2
第七章,,6
附则,,6
第五十三条,,6
开展涉及国家秘密的数据处理活动，适用,，,5
《中华人民共和国保守国家秘密法》等法律、行政法规的规,《》、,7
定。,。,1
在统计、档案工作中开展数据处理活动，开展涉及个人信,、，,2
息的数据处理活动，还应当遵守有关法律、行政法规的规定。,，、。,2
第五十四条,,6
军事数据安全保护的办法，由中央军事委员,，,5
会依据本法另行制定。,。,1
第五十五条,,6
本法自 2021 年 9 月 1 日起施行。,      。,1
《中华人民共和国网络安全法》,《》,3
2016 年 11 月,   ,6
中华人民共和国网络安全法,,0
《中华人民共和国网络安全法》,《》,3
2016 年 11 月 7 日，《中华人民共和国网络安全法》已由,     ，《》,2
中华人民共和国第十二届全国人民代表大会常务委员会第,,0
二十四次会议通过。,。,1
中华人民共和国主席令,,0
第五十三号,,6
《中华人民共和国网络安全法》已由中华人民共和国第,《》,2
十二届全国人民代表大会常务委员会第二十四次会议于,,0
2016 年 11 月 7 日通过，现予公布，自 2017 年 6 月 1 日起施,     ，，      ,11
行。,。,1
中华人民共和国主席习近平,,0
2016 年 11 月 7 日,     ,0
目 录, ,6
第一章,,6
总则-------------------------------------2,-------------------------------------,3
第二章,,6
网络安全支持与促进-----------------------5,-----------------------,3
第三章,,6
网络运行安全-----------------------------7,-----------------------------,3
第一节,,6
一般规定-----------------------------7,-----------------------------,3
第二节,,6
关键信息基础设施的运行安全-----------9,-----------,3
第四章,,6
网络信息安全-----------------------------13,-----------------------------,3
第五章,,6
监测预警与应急处置-----------------------16,-----------------------,3
第六章,,6
法律责任---------------------------------18,---------------------------------,3
第七章,,6
附则-------------------------------------24,-------------------------------------,3
中华人民共和国网络安全法,,0
第一章 总 则,  ,6
第一条,,6
为了保障网络安全，维护网络空间主权和国家,，,5
安全、社会公共利益，保护公民、法人和其他组织的合法权,、，、,7
益，促进经济社会信息化健康发展，制定本法。,，，。,8
第二条,,6
在中华人民共和国境内建设、运营、维护和使,、、,7
用网络，以及网络安全的监督管理，适用本法。,，，。,8
第三条,,6
国家坚持网络安全与信息化发展并重，遵循积,，,5
极利用、科学发展、依法管理、确保安全的方针，推进网络,、、、，,2
基础设施建设和互联互通，鼓励网络技术创新和应用，支持,，，,11
培养网络安全人才，建立健全网络安全保障体系，提高网络,，，,11
安全保护能力。,。,1
第四条,,6
国家制定并不断完善网络安全战略，明确保障,，,5
网络安全的基本要求和主要目标，提出重点领域的网络安全,，,5
政策、工作任务和措施。,、。,2
第五条,,6
国家采取措施，监测、防御、处置来源于中华,，、、,7
人民共和国境内外的网络安全风险和威胁，保护关键信息基,，,5
础设施免受攻击、侵入、干扰和破坏，依法惩治网络违法犯,、、，,2
罪活动，维护网络空间安全和秩序。,，。,8
第六条,,6
国家倡导诚实守信、健康文明的网络行为，推,、，,2
动传播社会主义核心价值观，采取措施提高全社会的网络安,，,5
全意识和水平，形成全社会共同参与促进网络安全的良好环,，,5
境。,。,1
中华人民共和国网络安全法,,0
3,,6
第七条,,6
国家积极开展网络空间治理、网络技术研发和,、,4
标准制定、打击网络违法犯罪等方面的国际交流与合作，推,、，,2
动构建和平、安全、开放、合作的网络空间，建立多边、民,、、、，、,7
主、透明的网络治理体系。,、。,2
第八条,,6
国家网信部门负责统筹协调网络安全工作和相,,0
关监督管理工作。国务院电信主管部门、公安部门和其他有,。、,7
关机关依照本法和有关法律、行政法规的规定，在各自职责,、，,2
范围内负责网络安全保护和监督管理工作。,。,1
县级以上地方人民政府有关部门的网络安全保护和监督,,0
管理职责，按照国家有关规定确定。,，。,8
第九条,,6
网络运营者开展经营和服务活动，必须遵守法,，,5
律、行政法规，尊重社会公德，遵守商业道德，诚实信用，,、，，，，,2
履行网络安全保护义务，接受政府和社会的监督，承担社会,，，,11
责任。,。,1
第十条,,6
建设、运营网络或者通过网络提供服务，应当,、，,2
依照法律、行政法规的规定和国家标准的强制性要求，采取,、，,2
技术措施和其他必要措施，保障网络安全、稳定运行，有效,，、，,2
应对网络安全事件，防范网络违法犯罪活动，维护网络数据,，，,11
的完整性、保密性和可用性。,、。,2
第十一条,,6
网络相关行业组织按照章程，加强行业自律，,，，,11
制定网络安全行为规范，指导会员加强网络安全保护，提高,，，,11
网络安全保护水平，促进行业健康发展。,，。,8
中华人民共和国网络安全法,,0
第十二条,,6
国家保护公民、法人和其他组织依法使用网,、,4
络的权利，促进网络接入普及，提升网络服务水平，为社会,，，，,5
提供安全、便利的网络服务，保障网络信息依法有序自由流,、，,2
动。,。,1
任何个人和组织使用网络应当遵守宪法法律，遵守公共,，,5
秩序，尊重社会公德，不得危害网络安全，不得利用网络从,，，，,5
事危害国家安全、荣誉和利益，煽动颠覆国家政权、推翻社,、，、,7
会主义制度，煽动分裂国家、破坏国家统一，宣扬恐怖主义、,，、，、,2
极端主义，宣扬民族仇恨、民族歧视，传播暴力、淫秽色情,，、，、,2
信息，编造、传播虚假信息扰乱经济秩序和社会秩序，以及,，、，,11
侵害他人名誉、隐私、知识产权和其他合法权益等活动。,、、。,2
第十三条,,6
国家支持研究开发有利于未成年人健康成长,,0
的网络产品和服务，依法惩治利用网络从事危害未成年人身,，,5
心健康的活动，为未成年人提供安全、健康的网络环境。,，、。,2
第十四条,,6
任何个人和组织有权对危害网络安全的行为,,0
向网信、电信、公安等部门举报。收到举报的部门应当及时,、、。,2
依法作出处理；不属于本部门职责的，应当及时移送有权处,；，,11
理的部门。,。,1
有关部门应当对举报人的相关信息予以保密，保护举报,，,5
人的合法权益。[1],。[],8
中华人民共和国网络安全法,,0
5,,6
第二章 网络安全支持与促进, ,0
第十五条 国家建立和完善网络安全标准体系。国务院标, 。,1
准化行政主管部门和国务院其他有关部门根据各自的职责，,，,5
组织制定并适时修订有关网络安全管理以及网络产品、服务,、,4
和运行安全的国家标准、行业标准。,、。,2
国家支持企业、研究机构、高等学校、网络相关行业组,、、、,7
织参与网络安全国家标准、行业标准的制定。,、。,2
第十六条,,6
国务院和省、自治区、直辖市人民政府应当,、、,7
统筹规划，加大投入，扶持重点网络安全技术产业和项目，,，，，,5
支持网络安全技术的研究开发和应用，推广安全可信的网络,，,5
产品和服务，保护网络技术知识产权，支持企业、研究机构,，，、,8
和高等学校等参与国家网络安全技术创新项目。,。,1
第十七条,,6
国家推进网络安全社会化服务体系建设，鼓,，,5
励有关企业、机构开展网络安全认证、检测和风险评估等安,、、,7
全服务。,。,1
第十八条,,6
国家鼓励开发网络数据安全保护和利用技术，,，,5
促进公共数据资源开放，推动技术创新和经济社会发展。,，。,8
国家支持创新网络安全管理方式，运用网络新技术，提,，，,11
升网络安全保护水平。,。,1
第十九条,,6
各级人民政府及其有关部门应当组织开展经,,0
常性的网络安全宣传教育，并指导、督促有关单位做好网络,，、,8
中华人民共和国网络安全法,,0
安全宣传教育工作。,。,1
大众传播媒介应当有针对性地面向社会进行网络安全宣,,0
传教育。,。,1
第二十条 国家支持企业和高等学校、职业学校等教育培, 、,4
训机构开展网络安全相关教育与培训，采取多种方式培养网,，,5
络安全人才，促进网络安全人才交流。[1],，。[],8
中华人民共和国网络安全法,,0
7,,6
第三章,,6
网络运行安全,,6
第一节 一般规定, ,6
第二十一条,,6
国家实行网络安全等级保护制度。网络运,。,1
营者应当按照网络安全等级保护制度的要求，履行下列安全,，,5
保护义务，保障网络免受干扰、破坏或者未经授权的访问，,，、，,11
防止网络数据泄露或者被窃取、篡改：,、：,7
（一）制定内部安全管理制度和操作规程，确定网络安,（），,3
全负责人，落实网络安全保护责任；,，；,3
